,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
0,Man United,Leicester,2,1,2,1
1,Bournemouth,Cardiff,2,0,1,1
2,Fulham,Crystal Palace,0,2,1,2
3,Huddersfield,Chelsea,0,3,2,1
4,Newcastle,Tottenham,1,2,2,2
5,Watford,Brighton,2,0,2,2
6,Wolves,Everton,2,2,0,1
7,Arsenal,Man City,0,2,2,2
8,Liverpool,West Ham,4,0,1,2
9,Southampton,Burnley,0,0,0,1
10,Cardiff,Newcastle,0,0,2,2
11,Chelsea,Arsenal,3,2,0,2
12,Everton,Southampton,2,1,0,5
13,Leicester,Wolves,2,0,2,1
14,Tottenham,Fulham,3,1,0,0
15,West Ham,Bournemouth,1,2,6,2
16,Brighton,Man United,3,2,1,1
17,Burnley,Watford,1,3,1,2
18,Man City,Huddersfield,6,1,0,2
19,Crystal Palace,Liverpool,0,2,1,1
20,Arsenal,West Ham,3,1,1,3
21,Bournemouth,Everton,2,2,0,3
22,Huddersfield,Cardiff,0,0,0,1
23,Liverpool,Brighton,1,0,1,1
24,Southampton,Leicester,1,2,1,1
25,Wolves,Man City,1,1,1,2
26,Fulham,Burnley,4,2,2,1
27,Newcastle,Chelsea,1,2,3,1
28,Watford,Crystal Palace,2,1,4,2
29,Man United,Tottenham,0,3,2,4
30,Brighton,Fulham,2,2,3,3
31,Chelsea,Bournemouth,2,0,2,2
32,Crystal Palace,Southampton,0,2,1,1
33,Everton,Huddersfield,1,1,3,3
34,Leicester,Liverpool,1,2,3,2
35,Man City,Newcastle,2,1,0,0
36,West Ham,Wolves,0,1,2,1
37,Burnley,Man United,0,2,2,3
38,Cardiff,Arsenal,2,3,3,4
39,Watford,Tottenham,2,1,2,1
40,Bournemouth,Leicester,4,2,3,2
41,Chelsea,Cardiff,4,1,0,0
42,Huddersfield,Crystal Palace,0,1,1,2
43,Man City,Fulham,3,0,0,0
44,Newcastle,Arsenal,1,2,0,0
45,Tottenham,Liverpool,1,2,0,0
46,Watford,Man United,1,2,2,1
47,Everton,West Ham,1,3,2,5
48,Wolves,Burnley,1,0,2,4
49,Southampton,Brighton,2,2,2,3
50,Brighton,Tottenham,1,2,2,1
51,Burnley,Bournemouth,4,0,2,0
52,Cardiff,Man City,0,5,1,1
53,Crystal Palace,Newcastle,0,0,1,1
54,Fulham,Watford,1,1,2,1
55,Leicester,Huddersfield,3,1,2,1
56,Liverpool,Southampton,3,0,0,2
57,Man United,Wolves,1,1,1,1
58,Arsenal,Everton,2,0,2,1
59,West Ham,Chelsea,0,0,2,1
60,Arsenal,Watford,2,0,2,2
61,Chelsea,Liverpool,1,1,0,2
62,Everton,Fulham,3,0,0,3
63,Huddersfield,Tottenham,0,2,2,2
64,Man City,Brighton,2,0,0,3
65,Newcastle,Leicester,0,2,0,0
66,West Ham,Man United,3,1,0,1
67,Wolves,Southampton,2,0,3,1
68,Cardiff,Burnley,1,2,1,3
69,Bournemouth,Crystal Palace,2,1,3,4
70,Brighton,West Ham,1,0,3,2
71,Burnley,Huddersfield,1,1,2,2
72,Crystal Palace,Wolves,0,1,3,4
73,Leicester,Everton,1,2,2,1
74,Man United,Newcastle,3,2,2,2
75,Tottenham,Cardiff,1,0,2,1
76,Watford,Bournemouth,0,4,3,1
77,Fulham,Arsenal,1,5,2,0
78,Liverpool,Man City,0,0,1,3
79,Southampton,Chelsea,0,3,6,0
80,Bournemouth,Southampton,0,0,1,2
81,Cardiff,Fulham,4,2,3,3
82,Chelsea,Man United,2,2,2,5
83,Huddersfield,Liverpool,0,1,0,2
84,Man City,Burnley,5,0,2,2
85,Newcastle,Brighton,0,1,0,2
86,West Ham,Tottenham,0,1,3,0
87,Wolves,Watford,0,2,3,1
88,Everton,Crystal Palace,2,0,2,1
89,Arsenal,Leicester,3,1,2,2
90,Brighton,Wolves,1,0,3,0
91,Fulham,Bournemouth,0,3,2,1
92,Leicester,West Ham,1,1,1,1
93,Liverpool,Cardiff,4,1,0,0
94,Southampton,Newcastle,0,0,0,1
95,Watford,Huddersfield,3,0,1,2
96,Burnley,Chelsea,0,4,4,2
97,Crystal Palace,Arsenal,2,2,1,2
98,Man United,Everton,2,1,2,1
99,Tottenham,Man City,0,1,2,2
100,Arsenal,Liverpool,1,1,1,1
101,Bournemouth,Man United,1,2,4,3
102,Cardiff,Leicester,0,1,2,2
103,Everton,Brighton,3,1,0,1
104,Newcastle,Watford,1,0,1,5
105,West Ham,Burnley,4,2,1,4
106,Wolves,Tottenham,2,3,1,2
107,Chelsea,Crystal Palace,3,1,0,1
108,Man City,Southampton,6,1,1,1
109,Huddersfield,Fulham,1,0,1,2
110,Cardiff,Brighton,2,1,2,1
111,Crystal Palace,Tottenham,0,1,1,1
112,Huddersfield,West Ham,1,1,1,1
113,Leicester,Burnley,0,0,2,0
114,Newcastle,Bournemouth,2,1,2,1
115,Southampton,Watford,1,1,3,2
116,Arsenal,Wolves,1,1,2,2
117,Chelsea,Everton,0,0,4,3
118,Liverpool,Fulham,2,0,1,1
119,Man City,Man United,3,1,1,1
120,Brighton,Leicester,1,1,3,1
121,Everton,Cardiff,1,0,0,3
122,Fulham,Southampton,3,2,2,3
123,Man United,Crystal Palace,0,0,1,2
124,Tottenham,Chelsea,3,1,0,3
125,Watford,Liverpool,0,3,0,0
126,West Ham,Man City,0,4,0,0
127,Bournemouth,Arsenal,1,2,2,1
128,Wolves,Huddersfield,0,2,1,2
129,Burnley,Newcastle,1,2,0,1
130,Cardiff,Wolves,2,1,1,2
131,Crystal Palace,Burnley,2,0,1,1
132,Huddersfield,Brighton,1,2,0,2
133,Leicester,Watford,2,0,2,1
134,Man City,Bournemouth,3,1,0,0
135,Newcastle,West Ham,0,3,3,3
136,Southampton,Man United,2,2,4,4
137,Arsenal,Tottenham,4,2,3,3
138,Chelsea,Fulham,2,0,2,1
139,Liverpool,Everton,1,0,3,2
140,Bournemouth,Huddersfield,2,1,4,2
141,Brighton,Crystal Palace,3,1,2,3
142,Watford,Man City,1,2,0,1
143,West Ham,Cardiff,3,1,1,2
144,Burnley,Liverpool,1,3,1,0
145,Everton,Newcastle,1,1,0,5
146,Fulham,Leicester,1,1,0,0
