0,HomeTeam,AwayTeam,FTHG,FTAG,HY,AY
1,Bastia,Paris SG,0,1,3,3
2,Monaco,Guingamp,2,2,3,4
3,Bordeaux,St Etienne,3,2,1,2
4,Caen,Lorient,3,2,1,2
5,Dijon,Nantes,0,1,0,2
6,Metz,Lille,3,2,2,2
7,Montpellier,Angers,1,0,1,2
8,Marseille,Toulouse,0,0,3,1
9,Nancy,Lyon,0,3,4,2
10,Nice,Rennes,1,0,0,1
11,Lyon,Caen,2,0,3,4
12,Angers,Nice,0,1,1,2
13,Lille,Dijon,1,0,1,2
14,Lorient,Bastia,0,3,2,4
15,Nantes,Monaco,0,1,2,4
16,Rennes,Nancy,2,0,4,2
17,Toulouse,Bordeaux,4,1,1,3
18,Guingamp,Marseille,2,1,0,1
19,Paris SG,Metz,3,0,1,1
20,St Etienne,Montpellier,3,1,1,1
21,Marseille,Lorient,2,0,1,1
22,Caen,Bastia,2,0,1,5
23,Dijon,Lyon,4,2,2,2
24,Metz,Angers,2,0,2,2
25,Montpellier,Rennes,1,1,1,2
26,Nancy,Guingamp,0,2,2,1
27,Nice,Lille,1,1,2,2
28,Bordeaux,Nantes,1,0,2,1
29,Monaco,Paris SG,3,1,1,2
30,St Etienne,Toulouse,0,0,2,1
31,Paris SG,St Etienne,1,1,2,4
32,Angers,Dijon,3,1,1,2
33,Bastia,Toulouse,2,1,4,4
34,Guingamp,Montpellier,1,1,1,1
35,Lille,Monaco,1,4,3,1
36,Lorient,Nancy,0,2,0,5
37,Lyon,Bordeaux,1,3,2,1
38,Nantes,Metz,0,3,1,4
39,Nice,Marseille,3,2,2,3
40,Rennes,Caen,2,0,2,1
41,Caen,Paris SG,0,6,1,1
42,Bordeaux,Angers,0,1,0,4
43,Dijon,Metz,0,0,4,3
44,Lorient,Lille,1,0,2,2
45,Monaco,Rennes,3,0,1,1
46,Nancy,Nantes,1,1,0,0
47,Toulouse,Guingamp,2,1,4,3
48,Marseille,Lyon,0,0,3,2
49,Montpellier,Nice,1,1,1,1
50,St Etienne,Bastia,1,0,2,4
51,Lille,Toulouse,1,2,2,5
52,Paris SG,Dijon,3,0,1,0
53,Angers,Caen,2,1,0,1
54,Bastia,Nancy,0,0,0,0
55,Guingamp,Lorient,1,0,1,2
56,Lyon,Montpellier,5,1,0,1
57,Metz,Bordeaux,0,3,2,0
58,Nantes,St Etienne,0,0,4,0
59,Nice,Monaco,4,0,1,1
60,Rennes,Marseille,3,2,1,1
61,Toulouse,Paris SG,2,0,3,1
62,Bastia,Guingamp,1,0,1,1
63,Bordeaux,Caen,0,0,0,2
64,Dijon,Rennes,3,0,1,1
65,Lorient,Lyon,1,0,2,1
66,Monaco,Angers,2,1,1,1
67,Montpellier,Metz,0,1,2,3
68,Marseille,Nantes,2,1,1,3
69,Nancy,Nice,0,1,3,1
70,St Etienne,Lille,3,1,3,1
71,Rennes,Guingamp,1,0,2,1
72,Caen,Toulouse,1,0,1,6
